"Year","Age","Characteristics","Salmonella infections [A01-A02]","Shigellosis and amoebiasis [A03, A06]","Tuberculosis [A16-A19]","Whooping cough [A37]","Scarlet fever and erysipelas [A38, A46]","Meningococcal infection [A39]","Sepsis [A40-A41]","Syphilis [A50-A53]","Acute poliomyelitis [A80]","Arthropod-borne viral encephalitis [A83-A84, A85.2]","Measles [B05]","Viral hepatitis [B15-B19]","Human immunodeficiency virus (HIV) disease [B20-B24]","Malaria [B50-B54]","Malignant neoplasms [C00-C97]","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Anaemias [D50-D64]","Diabetes mellitus [E10-E14]","Nutritional deficiencies [E40-E64]","Meningitis [G00, G03]","Parkinson's disease [G20-G21]","Alzheimer's disease [G30]","Diseases of heart [I00-I09, I11, I13, I20-I51]","Essential hypertension and hypertensive renal disease [I10, I12, I15]","Cerebrovascular diseases [I60-I69]","Atherosclerosis [I70]","Aortic aneurysm and dissection [I71]","Influenza and pneumonia [J09-J18]","Acute bronchitis and bronchiolitis [J20-J21]","Chronic lower respiratory diseases [J40-J47]","Pneumoconioses and chemical effects [J60-J66, J68]","Pneumonitis due to solids and liquids [J69]","Peptic ulcer [K25-K28]","Diseases of appendix [K35-K38]","Hernia [K40-K46]","Chronic liver disease and cirrhosis [K70, K73-K74]","Cholelithiasis and other disorders of gallbladder [K80-K82]","Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]","Infections of kidney [N10-N12, N13.6, N15.1]","Hyperplasia of prostate [N40]","Inflammatory diseases of female pelvic organs [N70-N76]","Pregnancy, childbirth and the puerperium [O00-O99]","Certain conditions originating in the perinatal period [P00-P96]","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Accidents (unintentional injuries) [V01-X59, Y85-Y86]","Intentional self-harm (suicide) [X60-X84, Y87.0]","Assault (homicide) [X85-Y09, Y87.1]","Legal intervention [Y35, Y89.0]","Operations of war and their sequelae [Y36, Y89.1]","Complications of medical and surgical care [Y40-Y84, Y88]","Other causes of death"
2000,"All ages","Number of deaths",3,0,81,2,1,24,1357,2,0,0,1,138,511,1,62672,1439,446,6714,220,56,1480,5007,55070,1034,15576,1313,2028,4966,73,9813,60,711,439,40,205,2206,320,3136,117,51,13,11,898,920,8589,3606,467,11,0,169,26065
2000,"All ages","Percentage of deaths",0,0,0,0,0,0,0.6,0,0,0,0,0.1,0.2,0,28.7,0.7,0.2,3.1,0.1,0,0.7,2.3,25.3,0.5,7.1,0.6,0.9,2.3,0,4.5,0,0.3,0.2,0,0.1,1,0.1,1.4,0.1,0,0,0,0.4,0.4,3.9,1.7,0.2,0,0,0.1,12
2000,"All ages","Age-specific mortality rate per 100,000 population",0,0,0.3,0,0,0.1,4.4,0,0,0,0,0.4,1.7,0,203.7,4.7,1.4,21.8,0.7,0.2,4.8,16.3,179,3.4,50.6,4.3,6.6,16.1,0.2,31.9,0.2,2.3,1.4,0.1,0.7,7.2,1,10.2,0.4,0.2,0,0,2.9,3,27.9,11.7,1.5,0,0,0.5,84.7
2000,"All ages","Rank of leading causes of death",41,47,31,42,44,37,15,42,47,47,44,29,21,44,1,14,23,6,26,34,13,7,2,17,3,16,12,8,32,4,33,20,24,36,27,11,25,10,30,35,38,39,19,18,5,9,22,39,47,28,0
2000,"1 to 14 years","Number of deaths",0,0,0,0,0,3,11,0,0,0,0,1,2,0,127,13,5,3,0,6,0,0,29,0,8,0,1,7,1,5,0,6,0,0,0,0,0,0,0,0,0,0,7,95,289,46,20,0,0,4,194
2000,"1 to 14 years","Percentage of deaths",0,0,0,0,0,0.3,1.2,0,0,0,0,0.1,0.2,0,14.4,1.5,0.6,0.3,0,0.7,0,0,3.3,0,0.9,0,0.1,0.8,0.1,0.6,0,0.7,0,0,0,0,0,0,0,0,0,0,0.8,10.8,32.7,5.2,2.3,0,0,0.5,22
2000,"1 to 14 years","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0.1,0.2,0,0,0,0,0,0,0,2.3,0.2,0.1,0.1,0,0.1,0,0,0.5,0,0.1,0,0,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,1.7,5.2,0.8,0.4,0,0,0.1,3.5
2000,"1 to 14 years","Rank of leading causes of death",23,23,23,23,23,17,8,23,23,23,23,20,19,23,2,7,14,17,23,12,23,23,5,23,9,23,20,10,20,14,23,12,23,23,23,23,23,23,23,23,23,23,10,3,1,4,6,23,23,16,0
2000,"1 to 4 years","Number of deaths",0,0,0,0,0,1,5,0,0,0,0,0,0,0,33,4,2,0,0,4,0,0,14,0,1,0,1,5,1,3,0,3,0,0,0,0,0,0,0,0,0,0,4,52,76,0,11,0,0,2,78
2000,"1 to 4 years","Percentage of deaths",0,0,0,0,0,0.3,1.7,0,0,0,0,0,0,0,11,1.3,0.7,0,0,1.3,0,0,4.7,0,0.3,0,0.3,1.7,0.3,1,0,1,0,0,0,0,0,0,0,0,0,0,1.3,17.3,25.3,0,3.7,0,0,0.7,26
2000,"1 to 4 years","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0.1,0.3,0,0,0,0,0,0,0,2.3,0.3,0.1,0,0,0.3,0,0,1,0,0.1,0,0.1,0.3,0.1,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.3,3.6,5.2,0,0.8,0,0,0.1,5.4
2000,"1 to 4 years","Rank of leading causes of death",19,19,19,19,19,15,6,19,19,19,19,19,19,19,3,8,13,19,19,8,19,19,4,19,15,19,15,6,15,11,19,11,19,19,19,19,19,19,19,19,19,19,8,2,1,19,5,19,19,13,0
2000,"5 to 9 years","Number of deaths",0,0,0,0,0,2,3,0,0,0,0,0,2,0,53,5,1,0,0,1,0,0,5,0,3,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,24,86,0,4,0,0,2,57
2000,"5 to 9 years","Percentage of deaths",0,0,0,0,0,0.8,1.2,0,0,0,0,0,0.8,0,20.9,2,0.4,0,0,0.4,0,0,2,0,1.2,0,0,0.4,0,0.4,0,0.8,0,0,0,0,0,0,0,0,0,0,0.8,9.4,33.9,0,1.6,0,0,0.8,22.4
2000,"5 to 9 years","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0.1,0.1,0,0,0,0,0,0.1,0,2.6,0.2,0,0,0,0,0,0,0.2,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,1.2,4.2,0,0.2,0,0,0.1,2.8
