"Year","Age","Characteristics","Salmonella infections [A01-A02]","Shigellosis and amoebiasis [A03, A06]","Tuberculosis [A16-A19]","Whooping cough [A37]","Scarlet fever and erysipelas [A38, A46]","Meningococcal infection [A39]","Sepsis [A40-A41]","Syphilis [A50-A53]","Acute poliomyelitis [A80]","Arthropod-borne viral encephalitis [A83-A84, A85.2]","Measles [B05]","Viral hepatitis [B15-B19]","Human immunodeficiency virus (HIV) disease [B20-B24]","Malaria [B50-B54]","Malignant neoplasms [C00-C97]","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Anaemias [D50-D64]","Diabetes mellitus [E10-E14]","Nutritional deficiencies [E40-E64]","Meningitis [G00, G03]","Parkinson's disease [G20-G21]","Alzheimer's disease [G30]","Diseases of heart [I00-I09, I11, I13, I20-I51]","Essential hypertension and hypertensive renal disease [I10, I12, I15]","Cerebrovascular diseases [I60-I69]","Atherosclerosis [I70]","Aortic aneurysm and dissection [I71]","Influenza and pneumonia [J09-J18]","Acute bronchitis and bronchiolitis [J20-J21]","Chronic lower respiratory diseases [J40-J47]","Pneumoconioses and chemical effects [J60-J66, J68]","Pneumonitis due to solids and liquids [J69]","Peptic ulcer [K25-K28]","Diseases of appendix [K35-K38]","Hernia [K40-K46]","Chronic liver disease and cirrhosis [K70, K73-K74]","Cholelithiasis and other disorders of gallbladder [K80-K82]","Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]","Infections of kidney [N10-N12, N13.6, N15.1]","Hyperplasia of prostate [N40]","Inflammatory diseases of female pelvic organs [N70-N76]","Pregnancy, childbirth and the puerperium [O00-O99]","Certain conditions originating in the perinatal period [P00-P96]","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Accidents (unintentional injuries) [V01-X59, Y85-Y86]","Intentional self-harm (suicide) [X60-X84, Y87.0]","Assault (homicide) [X85-Y09, Y87.1]","Legal intervention [Y35, Y89.0]","Operations of war and their sequelae [Y36, Y89.1]","Complications of medical and surgical care [Y40-Y84, Y88]","Other causes of death"
2000,"All ages","Number of deaths",2,0,29,2,1,15,702,1,0,0,0,42,82,0,29312,703,263,3392,156,23,669,3459,26215,674,9155,794,777,2728,42,4302,6,332,200,21,111,725,186,1553,83,0,13,11,391,426,3303,808,128,0,0,84,14399
2000,"All ages","Percentage of deaths",0,0,0,0,0,0,0.7,0,0,0,0,0,0.1,0,27.6,0.7,0.2,3.2,0.1,0,0.6,3.3,24.7,0.6,8.6,0.7,0.7,2.6,0,4,0,0.3,0.2,0,0.1,0.7,0.2,1.5,0.1,0,0,0,0.4,0.4,3.1,0.8,0.1,0,0,0.1,13.5
2000,"All ages","Age-specific mortality rate per 100,000 population",0,0,0.2,0,0,0.1,4.5,0,0,0,0,0.3,0.5,0,188.7,4.5,1.7,21.8,1,0.1,4.3,22.3,168.7,4.3,58.9,5.1,5,17.6,0.3,27.7,0,2.1,1.3,0.1,0.7,4.7,1.2,10,0.5,0,0.1,0.1,2.5,2.7,21.3,5.2,0.8,0,0,0.5,92.7
2000,"All ages","Rank of leading causes of death",39,43,32,39,41,35,15,41,43,43,43,30,29,43,1,14,21,6,24,33,17,5,2,16,3,11,12,8,30,4,38,20,22,34,26,13,23,9,28,0,36,37,19,18,7,10,25,43,43,27,0
2000,"1 to 14 years","Number of deaths",0,0,0,0,0,2,7,0,0,0,0,0,1,0,51,8,3,1,0,4,0,0,12,0,6,0,0,3,0,4,0,4,0,0,0,0,0,0,0,0,0,0,4,35,98,17,10,0,0,2,101
2000,"1 to 14 years","Percentage of deaths",0,0,0,0,0,0.5,1.9,0,0,0,0,0,0.3,0,13.7,2.1,0.8,0.3,0,1.1,0,0,3.2,0,1.6,0,0,0.8,0,1.1,0,1.1,0,0,0,0,0,0,0,0,0,0,1.1,9.4,26.3,4.6,2.7,0,0,0.5,27.1
2000,"1 to 14 years","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0.1,0.3,0,0,0,0,0,0,0,1.9,0.3,0.1,0,0,0.1,0,0,0.4,0,0.2,0,0,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,1.3,3.6,0.6,0.4,0,0,0.1,3.7
2000,"1 to 14 years","Rank of leading causes of death",20,20,20,20,20,16,8,20,20,20,20,20,18,20,2,7,14,18,20,10,20,20,5,20,9,20,20,14,20,10,20,10,20,20,20,20,20,20,20,0,20,20,10,3,1,4,6,20,20,16,0
2000,"1 to 4 years","Number of deaths",0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,3,0,0,0,2,0,0,5,0,1,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,20,28,0,4,0,0,1,41
2000,"1 to 4 years","Percentage of deaths",0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,12.3,2.3,0,0,0,1.5,0,0,3.8,0,0.8,0,0,2.3,0,1.5,0,0.8,0,0,0,0,0,0,0,0,0,0,0.8,15.4,21.5,0,3.1,0,0,0.8,31.5
