"Year","Age","Characteristics","Salmonella infections [A01-A02]","Shigellosis and amoebiasis [A03, A06]","Tuberculosis [A16-A19]","Whooping cough [A37]","Scarlet fever and erysipelas [A38, A46]","Meningococcal infection [A39]","Sepsis [A40-A41]","Syphilis [A50-A53]","Acute poliomyelitis [A80]","Arthropod-borne viral encephalitis [A83-A84, A85.2]","Measles [B05]","Viral hepatitis [B15-B19]","Human immunodeficiency virus (HIV) disease [B20-B24]","Malaria [B50-B54]","Malignant neoplasms [C00-C97]","In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour [D00-D48]","Anaemias [D50-D64]","Diabetes mellitus [E10-E14]","Nutritional deficiencies [E40-E64]","Meningitis [G00, G03]","Parkinson's disease [G20-G21]","Alzheimer's disease [G30]","Diseases of heart [I00-I09, I11, I13, I20-I51]","Essential hypertension and hypertensive renal disease [I10, I12, I15]","Cerebrovascular diseases [I60-I69]","Atherosclerosis [I70]","Aortic aneurysm and dissection [I71]","Influenza and pneumonia [J09-J18]","Acute bronchitis and bronchiolitis [J20-J21]","Chronic lower respiratory diseases [J40-J47]","Pneumoconioses and chemical effects [J60-J66, J68]","Pneumonitis due to solids and liquids [J69]","Peptic ulcer [K25-K28]","Diseases of appendix [K35-K38]","Hernia [K40-K46]","Chronic liver disease and cirrhosis [K70, K73-K74]","Cholelithiasis and other disorders of gallbladder [K80-K82]","Nephritis, nephrotic syndrome and nephrosis [N00-N07, N17-N19, N25-N27]","Infections of kidney [N10-N12, N13.6, N15.1]","Hyperplasia of prostate [N40]","Inflammatory diseases of female pelvic organs [N70-N76]","Pregnancy, childbirth and the puerperium [O00-O99]","Certain conditions originating in the perinatal period [P00-P96]","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Accidents (unintentional injuries) [V01-X59, Y85-Y86]","Intentional self-harm (suicide) [X60-X84, Y87.0]","Assault (homicide) [X85-Y09, Y87.1]","Legal intervention [Y35, Y89.0]","Operations of war and their sequelae [Y36, Y89.1]","Complications of medical and surgical care [Y40-Y84, Y88]","Other causes of death"
2000,"All ages","Number of deaths",1,0,52,0,0,9,655,1,0,0,1,96,429,1,33360,736,183,3322,64,33,811,1548,28855,360,6421,519,1251,2238,31,5511,54,379,239,19,94,1481,134,1583,34,51,0,0,507,494,5286,2798,339,11,0,85,11666
2000,"All ages","Percentage of deaths",0,0,0,0,0,0,0.6,0,0,0,0,0.1,0.4,0,29.9,0.7,0.2,3,0.1,0,0.7,1.4,25.8,0.3,5.7,0.5,1.1,2,0,4.9,0,0.3,0.2,0,0.1,1.3,0.1,1.4,0,0,0,0,0.5,0.4,4.7,2.5,0.3,0,0,0.1,10.4
2000,"All ages","Age-specific mortality rate per 100,000 population",0,0,0.3,0,0,0.1,4.3,0,0,0,0,0.6,2.8,0,219,4.8,1.2,21.8,0.4,0.2,5.3,10.2,189.4,2.4,42.1,3.4,8.2,14.7,0.2,36.2,0.4,2.5,1.6,0.1,0.6,9.7,0.9,10.4,0.2,0.3,0,0,3.3,3.2,34.7,18.4,2.2,0.1,0,0.6,76.6
2000,"All ages","Rank of leading causes of death",39,43,31,43,43,38,15,39,43,43,39,26,19,39,1,14,24,6,29,34,13,10,2,21,3,16,12,8,35,4,30,20,23,36,27,11,25,9,33,32,0,0,17,18,5,7,22,37,43,28,0
2000,"1 to 14 years","Number of deaths",0,0,0,0,0,1,4,0,0,0,0,1,1,0,76,5,2,2,0,2,0,0,17,0,2,0,1,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,3,60,191,29,10,0,0,2,93
2000,"1 to 14 years","Percentage of deaths",0,0,0,0,0,0.2,0.8,0,0,0,0,0.2,0.2,0,14.9,1,0.4,0.4,0,0.4,0,0,3.3,0,0.4,0,0.2,0.8,0.2,0.2,0,0.4,0,0,0,0,0,0,0,0,0,0,0.6,11.8,37.5,5.7,2,0,0,0.4,18.2
2000,"1 to 14 years","Age-specific mortality rate per 100,000 population",0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,2.7,0.2,0.1,0.1,0,0.1,0,0,0.6,0,0.1,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,2.1,6.7,1,0.4,0,0,0.1,3.3
2000,"1 to 14 years","Rank of leading causes of death",23,23,23,23,23,17,8,23,23,23,23,17,17,23,2,7,11,11,23,11,23,23,5,23,11,23,17,8,17,17,23,11,23,23,23,23,23,23,23,23,0,0,10,3,1,4,6,23,23,11,0
2000,"1 to 4 years","Number of deaths",0,0,0,0,0,1,3,0,0,0,0,0,0,0,17,1,2,0,0,2,0,0,9,0,0,0,1,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,3,32,48,0,7,0,0,1,37
2000,"1 to 4 years","Percentage of deaths",0,0,0,0,0,0.6,1.8,0,0,0,0,0,0,0,10,0.6,1.2,0,0,1.2,0,0,5.3,0,0,0,0.6,1.2,0.6,0.6,0,1.2,0,0,0,0,0,0,0,0,0,0,1.8,18.8,28.2,0,4.1,0,0,0.6,21.8
